cvi_name,candidate_id,month,group,count
New Era CC,CAND_0513,2022-08-01,CVI,4
New Era CC,CAND_0513,2022-08-01,Matched Control,8
New Era CC,CAND_0513,2022-09-01,CVI,10
New Era CC,CAND_0513,2022-09-01,Matched Control,2
New Era CC,CAND_0513,2022-10-01,CVI,4
New Era CC,CAND_0513,2022-10-01,Matched Control,5
New Era CC,CAND_0513,2022-11-01,CVI,4
New Era CC,CAND_0513,2022-11-01,Matched Control,1
New Era CC,CAND_0513,2022-12-01,CVI,4
New Era CC,CAND_0513,2022-12-01,Matched Control,1
New Era CC,CAND_0513,2023-01-01,CVI,6
New Era CC,CAND_0513,2023-01-01,Matched Control,1
New Era CC,CAND_0513,2023-02-01,CVI,1
New Era CC,CAND_0513,2023-02-01,Matched Control,3
New Era CC,CAND_0513,2023-03-01,CVI,4
New Era CC,CAND_0513,2023-03-01,Matched Control,1
New Era CC,CAND_0513,2023-04-01,CVI,5
New Era CC,CAND_0513,2023-04-01,Matched Control,1
New Era CC,CAND_0513,2023-05-01,CVI,7
New Era CC,CAND_0513,2023-05-01,Matched Control,1
New Era CC,CAND_0513,2023-06-01,CVI,6
New Era CC,CAND_0513,2023-06-01,Matched Control,1
New Era CC,CAND_0513,2023-07-01,CVI,8
New Era CC,CAND_0513,2023-07-01,Matched Control,1
Team Pursuit,CAND_0168,2021-01-01,CVI,8
Team Pursuit,CAND_0168,2021-01-01,Matched Control,2
Team Pursuit,CAND_0168,2021-02-01,CVI,4
Team Pursuit,CAND_0168,2021-02-01,Matched Control,0
Team Pursuit,CAND_0168,2021-03-01,CVI,5
Team Pursuit,CAND_0168,2021-03-01,Matched Control,0
Team Pursuit,CAND_0168,2021-04-01,CVI,3
Team Pursuit,CAND_0168,2021-04-01,Matched Control,1
Team Pursuit,CAND_0168,2021-05-01,CVI,9
Team Pursuit,CAND_0168,2021-05-01,Matched Control,0
Team Pursuit,CAND_0168,2021-06-01,CVI,11
Team Pursuit,CAND_0168,2021-06-01,Matched Control,0
Team Pursuit,CAND_0168,2021-07-01,CVI,9
Team Pursuit,CAND_0168,2021-07-01,Matched Control,1
Team Pursuit,CAND_0168,2021-08-01,CVI,9
Team Pursuit,CAND_0168,2021-08-01,Matched Control,0
Team Pursuit,CAND_0168,2021-09-01,CVI,10
Team Pursuit,CAND_0168,2021-09-01,Matched Control,0
Team Pursuit,CAND_0168,2021-10-01,CVI,8
Team Pursuit,CAND_0168,2021-10-01,Matched Control,2
Team Pursuit,CAND_0168,2021-11-01,CVI,13
Team Pursuit,CAND_0168,2021-11-01,Matched Control,0
Team Pursuit,CAND_0168,2021-12-01,CVI,8
Team Pursuit,CAND_0168,2021-12-01,Matched Control,2
Team Pursuit,CAND_0168,2022-01-01,CVI,2
Team Pursuit,CAND_0168,2022-01-01,Matched Control,0
Team Pursuit,CAND_0168,2022-02-01,CVI,2
Team Pursuit,CAND_0168,2022-02-01,Matched Control,3
Team Pursuit,CAND_0168,2022-03-01,CVI,6
Team Pursuit,CAND_0168,2022-03-01,Matched Control,2
Team Pursuit,CAND_0168,2022-04-01,CVI,7
Team Pursuit,CAND_0168,2022-04-01,Matched Control,0
Team Pursuit,CAND_0168,2022-05-01,CVI,11
Team Pursuit,CAND_0168,2022-05-01,Matched Control,1
